1,123.27,Lever Press,Yes
1,215.95,Lever Press,Yes
2,329.71,Lever Press,Yes
3,384.73,Lever Press,No
4,685.64,Lever Press,Yes
5,904.33,Lever Press,Yes
6,1019.63,Lever Press,Yes
7,1141.42,Lever Press,Yes
8,1207.35,Lever Press,Yes
9,1252.68,Lever Press,No
10,1362.69,Lever Press,Yes
11,1607.08,Lever Press,Yes
12,1667.04,Lever Press,No
13,1673.09,Lever Press,Yes
14,1716.74,Lever Press,No
15,1732.12,Lever Press,No
16,1744.03,Lever Press,Yes
17,1775.87,Lever Press,No
18,1781.06,Lever Press,No
19,1841.25,Lever Press,Yes
20,1975.63,Lever Press,Yes
21,2015.37,Lever Press,No
22,2019.01,Lever Press,No
